MANDT,QMNUM,FENUM,COUNTER,QMNUM_Z2,DELIVERPLAN,ACTUALCOMMITDATE,LASTCOMMITDATE,DELIVERPLANHIST,RECOMMITEDHIST,REMARKSRS,TIMESTAMPRS,REMARKSOC,TIMESTAMPOC,REMARKSVM,TIMESTAMPVM,REMARKSSPM,TIMESTAMPSPM,REMARKSPUR,TIMESTAMPPUR,REMARKSLOG,TIMESTAMPLOG,GSIREMARKS,CHANGES,STATUS,PRIORITY,AEDAT,AEUHR,AENAM
100,000310065904,1,1,001000048828,,,,,,,,,,,,,,,,,,,,,,,,
100,000310072967,1,1,001000053100,,,,,,,,,,,,,,,,,,,,,,,,
100,000310073594,1,1,001000053097,,,,,,,,,,,,,,,,,,,,,,,,
100,000310074706,1,1,001000053101,,,,,,,,,,,,,,,,,,,,,,,,
100,000310075656,1,1,001000057785,,,,,,,,,,,,,,,,,,,,,,,,
100,000310075959,1,1,001000082055,,,,,,,,,,scrapped 26.05.2014,25-06-2014,,,,,,,scrapped 26.05.2014,,,,25-06-2014,11:58:04,NHSITPM03
100,000310076224,1,1,001000057787,,,,,,,,,,,,,,,,,,,,,,,,
100,000310076225,1,1,001000057768,,,,,,,,,,,,,,,,,,,,,,,,
100,000310076976,1,1,001000054746,,,,,,,,,,,,,,,,,,,,,,,,
100,000310077126,1,1,001000057762,,,,,,,,,,,,,,,,,,,,,,,,
100,000310077659,1,1,001000064718,,,,,,,,,,,,,,,,,,,,,,,,
100,000310077716,1,1,001000053096,,,,,,,,,,,,,,,,,,,,,,,,
100,000310077717,1,1,001000053095,,,,,,,,,,,,,,,,,,,,,,,,
100,000310078660,1,1,001000053988,,,,,,,,,,,,,,,,,,,,,,,,
100,000310078865,1,1,001000057783,,,,,,,,,,,,,,,,,,,,,,,,
100,000310079353,1,1,001000057773,,,,,,,,,,,,,,,,,,,,,,,,
100,000310079399,1,1,001000059175,,,,,,,,,,,,,,,,,,,,,,,,
100,000310080146,1,1,001000057784,,,,,,,,,,,,,,,,,,,,,,,,
100,000310080344,1,1,001000071233,,,,,,,,,,,,,,,,,,,,,,,,
100,000310080663,1,1,001000059173,,,,,,,,,,,,,,,,,,,,,,,,
100,000310081292,1,1,001000068437,,,,,,,,,,,,,,,,,,,,,,,,
100,000310081392,1,1,001000059185,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084393,1,1,001000057778,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084400,1,1,001000057776,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084401,1,1,001000057772,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084402,1,1,001000057763,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084412,1,1,001000057764,,,,,,,,,,,,,,,,,,,,,,,,
100,000310084756,1,1,001000057777,,,,,,,,,,,,,,,,,,,,,,,,
100,000310085120,1,1,001000057782,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086085,1,1,001000059187,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086087,1,1,001000059190,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086088,1,1,001000075184,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086089,1,1,001000059179,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086090,1,1,001000057786,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086091,1,1,001000059188,,,,,,,,,,,,,,,,,,,,,,,,
100,000310086092,1,1,001000059171,,,,,,,,,,,,,,,,,,,,,,,,
100,000310088344,1,1,001000086607,,,,,,,,,,,,,,,,,,,,,,,,
100,000310089198,1,1,001000057781,,,,,,,,,,,,,,,,,,,,,,,,
100,000310089211,1,1,001000074424,,,,,,,,,,,,,,,,,,,,,,,,
100,000310089502,1,1,001000057650,,,,,,,,,,,,,,,,,,,,,,,,
100,000310090490,1,1,001000057780,,,,,,,,,,,,,,,,,,,,,,,,
100,000310091149,1,1,001000057774,,,,,,,,,,,,,,,,,,,,,,,,
100,000310091150,1,1,001000057775,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092340,1,1,001000068412,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092591,1,1,001000061695,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092613,1,1,001000068416,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092676,1,1,001000058872,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092680,1,1,001000058902,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092704,1,1,001000058899,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092706,1,1,001000058892,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092725,1,1,001000058901,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092788,1,1,001000058891,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092794,1,1,001000058882,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092862,1,1,001000058873,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092902,1,1,001000072387,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092918,1,1,001000058856,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092919,1,1,001000058867,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092938,1,1,001000081691,,,,,,,,,,,,,,,,,,,,,,,,
100,000310092959,1,1,001000058903,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093001,1,1,001000058898,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093012,1,1,001000068413,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093150,1,1,001000058862,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093166,1,1,001000060403,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093216,1,1,001000058896,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093246,1,1,001000068420,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093249,1,1,001000083308,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093348,1,1,001000058870,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093349,1,1,001000058895,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093389,1,1,001000058886,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093416,1,1,001000058851,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093501,1,1,001000058866,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093503,1,1,001000058897,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093505,1,1,001000058875,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093513,1,1,001000058893,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093571,1,1,001000058894,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093601,1,1,001000068414,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093607,1,1,001000068424,,,,,,,,,,,,,,,,,,,,,,,,
100,000310093766,1,1,001000068419,,,,,,,,,,,,,,,,,,,,,,,,
